frame_id,p0_nose,p0_left_eye,p0_right_eye,p0_left_ear,p0_right_ear,p0_left_shoulder,p0_right_shoulder,p0_left_elbow,p0_right_elbow,p0_left_wrist,p0_right_wrist,p0_left_hip,p0_right_hip,p0_left_knee,p0_right_knee,p0_left_ankle,p0_right_ankle,p1_nose,p1_left_eye,p1_right_eye,p1_left_ear,p1_right_ear,p1_left_shoulder,p1_right_shoulder,p1_left_elbow,p1_right_elbow,p1_left_wrist,p1_right_wrist,p1_left_hip,p1_right_hip,p1_left_knee,p1_right_knee,p1_left_ankle,p1_right_ankle,p0_average,p1_average
1,24.67743990345141,8.776543392278962,17.93395726096434,9.061039591255897,8.12449403539139,8.620349450635832,12.645697466373885,0.7583633731388563,27.52559541226786,78.3536563276736,44.33839802536007,6.527024263514611,5.240667016415423,1.9429370565618274,1.7958714180801965,1.378900315040461,3.864864089264614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.386223435157016,0.0
2,20.551801904346462,24.11722188017885,14.275887189199505,27.114009900868616,11.689807941802913,32.30377873233906,28.379564517313593,49.07419234070868,80.92832771486492,9.593814894677283,106.13973156625008,20.790947275152423,24.252671113991692,31.10639993657901,30.910662717323696,34.850961767861186,34.45740855332263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.14924646745768,0.0
3,2.9050957583743355,5.067939741210404,6.616056961440023,16.408647490042352,7.654794516268433,6.15059060285131,3.2023415355303624,72.2351181422251,9.273328932567109,4.736309032131331,7.434669114896082,10.284193816117336,12.073358888076738,16.212332719322127,16.59816940136365,3.3060684217394325,3.326429032685245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.969732006284787,0.0
4,15.722934231359117,14.273272082237943,18.411254745962687,11.978114502089337,14.075894734146942,12.41137698326206,5.069658849277817,78.19146170777161,20.542900201761686,12.160966065714167,39.0345678592063,26.463424841226832,25.85898238819332,35.54085519491888,35.59524096011416,6.21457209374011,7.686783986954776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.307780083996334,0.0
5,8.315199934061221,8.34214532521543,7.384782378997736,5.306210087995512,2.794795407087453,13.287049580700167,7.178035004160516,32.78252943680584,20.80713049730916,56.65835676569291,51.85880619085207,19.417876004255792,16.40147431495616,18.686125751757352,19.652840065752777,7.785760442113768,10.460602344693848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.06586585484751,0.0
6,16.634095866840692,12.306766541092948,17.176160080425696,17.021348940944645,13.476474182577663,26.22860537329421,27.68349933465611,56.13113958584434,61.90690521956178,81.8361212231895,25.965568620009403,23.785395490446657,24.03271807012926,23.976719331392527,30.992407248478134,32.650142514523125,36.84950444917429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.097268945445943,0.0
7,8.091318578073968,7.851214538788591,8.630919133217613,15.88581075435594,7.605802531231167,1.0557381818302074,3.6074367701683645,8.433961458680596,6.128667881114441,6.155127742893278,85.93795585797791,0.9842572450454508,2.2297085696390595,2.2684034545190688,4.0137378549141465,2.317689977401962,2.26383465802035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.203622658110126,0.0
8,14.696076590666452,12.064687331051086,12.054533117479227,15.033830385366192,4.449359245198564,5.01692389378511,25.187805657189454,19.3291737823933,30.923482462285968,28.770603810794512,47.3072457731569,7.518375229746947,8.802554113949526,5.083694360735407,3.712976613753433,7.2414536636936395,6.58162527944174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.927905959452202,0.0
9,3.997118377386362,2.0563021636323544,8.937240193947618,19.795690252105103,14.008901216053689,28.777299184121954,36.23287841626434,60.24828999740355,63.204969399702996,103.78296689263672,74.68253721404251,22.89554995239848,23.0035824340409,29.87608188669381,31.124838409611932,31.167991008585243,34.22728422832006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.589383601585155,0.0
10,12.444161911509326,15.657077963792595,10.276991777911208,26.726939804046516,10.65144589274359,41.43070202515573,29.679372739911624,74.80485623666996,66.55792197972924,105.19563237209275,98.27806272187107,32.02910502591956,24.6318102917322,32.02004205203412,30.601669892894943,8.600935370187784,33.97696446761872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.44492308975417,0.0
