Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,101,1,0,0,0,0,0,0,0,1,-2.8018915342704394,115.07168750580841,11.787357904007886
right_shoulder,102,0,0,0,0,0,0,0,0,1,-2.90201892137398,53.207723748642024,5.6109742670016
left_elbow,2,0,0,0,0,100,0,0,0,1,-141.25036657222222,141.1945541998223,28.244492077204455
right_elbow,1,0,0,0,0,0,0,0,0,102,-51.19455419982234,2.9703262194855644,5.416488041930791
left_hip,1,0,0,0,0,100,0,1,0,1,-12.73837360057736,8.926880926402921,2.1665254526980284
right_hip,1,0,0,0,0,101,0,0,0,1,-75.11318861494263,50.169179429015635,12.528236804395824
left_knee,1,0,100,0,0,0,0,1,0,1,-13.744351167462751,38.69472127136567,5.243907243882843
right_knee,1,0,0,0,1,0,0,100,0,1,-43.10957911247221,11.27855040366245,5.438812951613464
