Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,13,21,14,16,19,16,6,4,0,2,0.7937063287117045,157.17887877739398,15.638517244868227
right_shoulder,22,12,11,20,18,10,7,4,6,1,1.3111740973890538,130.34330011180685,12.90321260144178
left_elbow,11,9,12,16,13,10,9,8,8,15,0.6446978265126877,179.78444935364604,17.913975152713334
right_elbow,15,13,10,7,10,10,5,7,10,24,0.4268056839314067,179.8881876461501,17.94613819622187
left_hip,8,3,6,3,18,30,14,14,9,6,0.0,180.0,18.0
right_hip,7,2,7,11,21,19,24,8,4,8,3.4929721063833825,180.0,17.650702789361663
left_knee,16,3,7,7,12,13,7,9,11,26,0.0,179.58350283828324,17.958350283828324
right_knee,12,12,7,6,10,4,9,13,14,24,0.0,180.0,18.0
