Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,12,7,6,29,14,9,3,7,2,3,0.5281182266885242,179.9999991462264,17.947188091953787
right_shoulder,17,3,7,13,14,17,12,1,4,4,2.4860859611109163,170.0479855485494,16.75618995874385
left_elbow,5,5,7,29,2,1,5,9,12,17,4.308321242699941,180.0,17.56916787573001
right_elbow,14,4,4,2,7,6,4,3,11,37,19.195759270163187,179.99998722188613,16.08042279517229
left_hip,2,3,9,11,46,15,2,2,1,1,33.95626458688556,156.25320475864442,12.22969401717588
right_hip,5,8,12,31,18,13,2,2,0,1,54.751011226034244,143.95721361885188,8.920620239281767
left_knee,1,0,1,1,0,3,13,4,12,57,33.68667732241081,179.8823086189824,14.619563129657159
right_knee,2,0,0,0,1,1,11,10,3,64,11.726089808766654,180.0,16.827391019123333
