Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,4,0,6,11,25,23,13,5,4,3,-61.81330534828476,59.22060997969068,12.103391532797545
right_shoulder,3,2,4,13,19,32,13,4,2,2,-51.65647635877603,50.984478442597315,10.264095480137335
left_elbow,7,8,4,15,33,10,9,3,4,1,-122.85885925682659,159.36563086264303,28.222449011946964
right_elbow,5,6,1,8,24,29,7,5,4,5,-152.8480403991648,150.72803418655118,30.357607458571607
left_hip,8,3,7,11,32,14,9,7,2,1,-88.87025379464205,103.26372420653072,19.213397800117278
right_hip,2,4,11,24,32,7,7,5,1,1,-93.8766375216315,131.07040851400677,22.494704603563832
left_knee,3,3,4,10,26,25,12,5,4,2,-170.9369818570104,168.6415826771203,33.957856453413086
right_knee,4,3,5,6,20,27,14,9,1,5,-165.21589413958313,152.32229256755258,31.75381867071357
