Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,36,53,47,35,36,15,6,7,1,4,0.1383080941259932,136.27878638293816,13.614047828881217
right_shoulder,20,33,52,50,47,30,5,1,1,1,0.5699603179670031,144.7978708333468,14.42279105153798
left_elbow,11,20,12,12,23,20,27,18,49,48,0.4757990623264399,179.5697563068389,17.909395724451247
right_elbow,15,25,14,7,5,23,12,23,63,53,0.0,179.99998804716896,17.999998804716896
left_hip,15,32,33,13,31,25,9,17,26,39,0.0,179.21940521580902,17.9219405215809
right_hip,35,24,14,11,21,29,22,39,23,22,0.0,180.0,18.0
left_knee,22,15,16,32,20,44,24,35,18,14,0.0,178.09408206721866,17.809408206721866
right_knee,20,14,23,31,40,26,30,22,16,18,0.0,180.0,18.0
