Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,62,29,14,7,2,5,2,4,3,2,0.0,33.70552686150714,3.370552686150714
right_shoulder,75,27,11,5,3,3,3,2,0,1,0.0,40.572174739438594,4.05721747394386
left_elbow,64,27,5,12,5,3,5,4,2,3,0.0,52.04332119667738,5.204332119667738
right_elbow,63,19,6,10,9,6,7,6,2,2,0.0,54.86677058761322,5.486677058761321
left_hip,40,41,13,12,7,6,3,2,3,3,0.0,22.20029022970357,2.220029022970357
right_hip,65,31,12,7,2,4,5,2,1,1,0.0,30.797895588361058,3.0797895588361057
left_knee,65,36,12,6,4,2,2,1,0,2,0.0,35.35645520990544,3.535645520990544
right_knee,93,17,6,3,1,2,3,2,2,1,0.0,41.58910266892391,4.1589102668923905
