Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,2,1,8,36,72,11,3,2,1,1,-26.75413376130984,35.93501917869154,6.268915294000138
right_shoulder,2,3,13,56,50,10,1,1,0,1,-33.32433102193677,50.88312453733758,8.420745555927436
left_elbow,3,0,1,1,46,79,4,1,1,1,-117.30448872047494,115.78819396103123,23.309268268150618
right_elbow,2,4,4,9,98,10,5,4,0,1,-107.02680030244233,130.63936701758172,23.766616732002404
left_hip,1,0,1,13,106,13,2,0,0,1,-59.67967197627519,72.0769296957063,13.175660167198146
right_hip,1,0,0,1,4,49,68,11,0,3,-68.6467372999225,42.65031829860867,11.129705559853122
left_knee,1,2,2,1,7,117,4,0,1,2,-133.29779421293614,117.21516603924944,25.051296025218562
right_knee,2,1,1,2,5,112,8,4,0,2,-134.82723901986137,109.51374344865714,24.434098246851846
