Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,29,36,27,18,14,5,7,1,1,3,0.16376827759993656,6.837939697918722,0.6674171420318786
right_shoulder,29,36,30,15,8,6,5,3,6,3,0.07696812871923464,6.259666100245882,0.6182697971526647
left_elbow,83,39,11,4,1,1,0,1,0,1,0.18606638521118216,22.65964696368173,2.247358057847055
right_elbow,106,21,5,4,0,3,1,0,0,1,0.19194810091672224,61.22205906853176,6.103011096761504
left_hip,45,30,30,21,3,4,3,3,0,2,0.21370277279457814,7.528540873964548,0.731483810116997
right_hip,31,44,23,11,11,9,3,4,3,2,0.14918323213971388,6.025962158135277,0.5876778925995564
left_knee,38,51,18,15,9,5,1,3,0,1,0.09262411875352232,9.529182188083169,0.9436558069329649
right_knee,38,32,21,20,10,8,5,4,2,1,0.12910695959228033,7.407125514154696,0.7278018554562415
