Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,2,2,5,16,28,109,15,6,2,3,-180.0,171.73362509596873,35.17336250959687
right_shoulder,2,2,1,9,126,34,10,1,1,2,-167.87615398137845,172.18252407974686,34.00586780611255
left_elbow,2,6,11,12,107,24,15,2,6,3,-159.80859533748844,166.3564828106921,32.61650781481805
right_elbow,5,2,4,13,33,103,12,9,3,4,-165.64899139915843,162.63463550705737,32.82836269062159
left_hip,1,4,6,17,109,28,10,8,2,3,-129.15754061058942,130.36558059639788,25.952312120698735
right_hip,2,4,5,7,20,123,12,9,3,3,-123.14466585963058,111.09880938087898,23.424347524050958
left_knee,7,5,9,9,20,110,9,9,5,5,-170.42542193384898,162.91989310510488,33.33453150389539
right_knee,2,7,6,5,31,114,7,7,3,6,-156.30830372596574,150.97378465560357,30.72820883815693
