Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,152,0,5,5,5,3,2,10,3,2,0.0,294.90943146591667,29.49094314659167
right_shoulder,152,0,3,7,4,5,0,8,7,1,0.0,294.918211515505,29.4918211515505
left_elbow,147,5,5,5,5,6,7,4,2,1,0.0,300.6531570055742,30.06531570055742
right_elbow,150,2,2,3,10,2,4,6,5,3,0.0,290.5850510879748,29.058505108797483
left_hip,149,5,4,3,4,7,11,3,0,1,0.0,303.4547716875837,30.345477168758368
right_hip,150,4,1,5,5,8,4,8,1,1,0.0,291.08209892683516,29.108209892683515
left_knee,150,3,4,5,3,10,7,4,0,1,0.0,282.7326398738805,28.27326398738805
right_knee,150,4,1,6,3,6,11,4,1,1,0.0,288.64159125888244,28.864159125888243
