frame_id,left_shoulder,right_shoulder,left_elbow,right_elbow,left_hip,right_hip,left_knee,right_knee,average
1,6.0518376775032765,3.5069082551312563,19.16372146248597,43.87093287508908,12.762213725798302,16.332941125368677,14.93393280403904,17.916067084826512,16.817319376280267
2,7.9893816657806696,10.494577362143687,25.52776189970568,42.791586940649424,10.620885260902504,20.518045188352875,51.29334424047975,16.928743466592742,23.270540753075917
3,5.4344357599893405,9.552074913504931,7.380764395294357,12.26757027590039,14.157823645130415,10.075212543941378,0.11788942602178624,18.339387776505234,9.665644842035977
4,0.4010476565661985,5.384052428322488,3.0711066716188,5.178915466260191,3.732600918754293,5.754500243235983,5.621394137329948,33.61133429939502,7.844368977685365
5,6.207091147319731,8.491882138999706,3.015515436411307,6.6358454423490905,8.562838250113112,8.043939922565295,3.61840934941934,22.519370298402876,8.386861498197558
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5.274143935306049,75.26186781922361,2.73091378767923,88.09405672172413,10.976980463250444,86.32850942901663,1.7718756736690175,118.99131440771784,48.678707779698364
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8.857751969557876,93.09282286576513,7.614678162543583,99.7294626410653,24.553173945758072,106.2083072297495,20.99224899208319,126.43578802850416,60.935529229378346
10,5.131613892838383,13.894028867494626,14.853934105645578,6.3613018412051785,10.981762078724204,12.029087133071073,14.969816300626302,16.40106562590321,11.82782623068857
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,7.300396841365534,12.971411643780575,10.681528633674708,8.770543305152449,0.6296089571375015,10.665420439927532,7.484545123659474,27.085079053653388,10.698566749793894
13,12.194577296738474,3.1064367152629178,5.816823539343308,2.8789505137207936,8.263277361612287,12.68274492510418,16.571065078147026,62.337339560588134,15.48140187381464
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18.560213669056644,8.228867773749336,23.61013606332829,8.88789588922851,6.404206223691906,16.259917519929573,28.79943754695589,59.17218720632451,21.24035773653308
18,3.654128890308989,18.0232431872228,6.167230795444831,44.132650121431865,9.063966868040774,23.866020107112192,10.69608227201129,12.904996377559481,16.06353982739153
19,23.288895038260172,20.738373330070072,19.324744389226595,72.83445928269391,18.82927108295437,16.642127772945766,15.886500950768138,11.735353799829097,24.909965705843515
20,15.263418603017724,12.70303154379109,67.55418780448562,33.68232096104265,16.572743343701582,17.74894065934703,26.645526742832338,16.289493089018706,25.807457843404592
21,3.011672206230576,22.680980703882714,28.343548699827185,43.31792644324821,16.393102483692928,13.724581229771541,17.589633558927463,8.714157619948656,19.22195036819116
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,20.222539647385254,38.92321148783513,34.0514612641609,65.26499716135227,22.49263610644326,42.498568748802846,33.291684248776484,55.14305664374796,38.986019413563014
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,23.183079199280037,26.21296745107765,44.4847602524639,31.543331440417838,34.692791013765756,32.69939543492819,15.307322820923805,26.91074913939695,29.379299594031767
30,12.984379903574936,4.288735441112453,18.843870792923013,6.727446035990499,7.491610675194791,4.398912691073991,9.358609966862332,2.2943433357016225,8.298488605304204
31,2.5910780311993578,4.935808315653404,11.732980098442075,30.719752612335444,1.1112959561485625,3.0671078616177314,4.6338615650227,0.8805602828294452,7.459055590406089
32,3.8720591343204833,4.9124978490387115,15.241406064267172,2.2234300741703654,1.8148739635841282,2.9021410093517943,3.906058832169766,2.0813435012743877,4.619226303522101
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,7.391750819843372,11.432823174462404,4.756748786126977,20.126809425538863,16.002968160387834,12.241501069139906,27.22557569513717,32.33487811162849,16.439131905283126
36,19.638572831718605,22.41799849929434,36.7088495997719,17.057944038079597,23.373609209045963,16.907339317882723,27.333018400211404,26.834851460617205,23.78402291957772
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,86.58495667152214,121.29067251358734,72.0001744245194,131.52260941291007,79.40888027690512,96.08771653916875,104.0386425904773,106.18119334216956,99.63935572140745
39,105.29795348697034,108.81609512013607,105.308039557385,112.527231765789,99.61971883778952,110.29725849132835,104.69741397762144,111.12803990326636,107.21146889253575
40,4.2516580869402985,9.717890098932628,2.052734889720921,6.144512612289901,14.977694904062641,13.97080413635885,12.994234559824662,10.948174011876773,9.382212912500835
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,74.06142212278075,65.87947108238546,85.47531488099634,76.49504465850772,109.15920392480447,107.87327927901386,41.468662902657854,86.67178548944945,80.88552304257449
43,70.5305606282286,64.68912437891025,83.37437409818173,74.50606600052319,97.8132782791303,97.25001751129528,29.04628810487561,82.83567536707784,75.00567304602785
44,4.004795320479141,8.37384667226663,4.302668213234165,1.3571685788819705,12.373214845563462,13.334250126005529,6.1050509191172075,4.227699153606807,6.759836728644364
