frame_id,left_shoulder,right_shoulder,left_elbow,right_elbow,left_hip,right_hip,left_knee,right_knee
0,,,,,,,,
1,,,,,,,,
2,4.5218918571931965,9.633984119179601,21.480363055042375,-122.53428919512119,-28.434508582804384,34.30662474892462,6.29715012861007,-42.52349531555447
3,-17.75991493943757,-38.82289934904676,74.51523521566915,69.10816502643219,-14.518057652238681,-36.338095125465244,4.640092223661213,-1.5298449610703244
4,11.643203539499646,20.376345437783435,-85.82316918653035,-44.49502932708755,58.358978185406855,7.068558475555136,71.29317504962873,94.13444767165527
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-41.044795786562354,-1.0224464296748685,115.77150153814085,25.273934032616694,14.777284670042704,-11.705812655062275,-65.25928134597478,-95.03708809901451
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,47.33385776241141,7.602247736293577,-103.30687432931896,-47.722351985235946,-36.80069729873122,10.956939274922192,-13.222045613849929,18.40979437600268
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-53.93496866174442,-4.8506521109783804,4.258030317178168,28.299331530887002,20.142000545739222,-26.904911908842124,-0.9202915695486809,18.464396923081352
13,54.641527710456444,15.835698917047699,-4.488328709630281,-39.433370096105705,29.911780378362913,71.34837165061822,16.75231310477625,113.85838523444583
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-30.715127996221163,7.53953868466418,43.00061098699619,65.67334104943633,-21.24478457739925,-41.65486582541931,-12.93621849226136,-130.04084476232342
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,12.0606953880309,-13.71674286737329,-36.49539623067362,-37.12885793227632,-99.22741011133832,38.214106575061955,0.5677316751012143,55.784103848723305
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,13.604157283919156,0.43899188801205824,-3.173420313433013,-31.146839989867857,73.32577542731325,-27.272165620239356,-3.764236555670834,-74.41696391385929
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-57.09406742104731,-27.497507757727462,81.37036340058614,167.67599215263678,8.554117896712938,-22.863228471119854,13.423639649413843,1.2512593670385854
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
