Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,1,0,2,2,53,8,0,0,0,1,-144.09172027227194,168.46963409432874,31.25613543666006
right_shoulder,1,0,10,32,21,1,1,0,0,1,-99.88538713022028,158.67339842891982,25.855878555914003
left_elbow,1,2,1,2,2,13,29,9,2,6,-149.3841492416318,87.10317807286934,23.64873273145011
right_elbow,3,2,3,12,27,12,3,3,1,1,-92.18382245594606,112.57204226212255,20.475586471806864
left_hip,2,1,1,5,26,24,3,0,2,3,-143.3895685096896,142.53794636788118,28.592751487757084
right_hip,4,1,0,9,35,12,0,2,3,1,-113.96744829728355,129.02741667977236,24.299486497705587
left_knee,2,4,7,25,21,4,0,1,1,2,-72.56694846378862,115.39947858841194,18.79664270522006
right_knee,1,0,2,4,20,33,3,1,1,2,-124.14069750740528,117.78696019461563,24.192765770202087
