Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,1,0,1,1,23,124,14,3,0,1,-81.25679461121557,68.7135305026152,14.997032511383082
right_shoulder,2,0,5,5,31,109,6,6,3,1,-86.3866701317786,81.45035075921155,16.783702089099023
left_elbow,5,3,6,6,101,30,5,6,2,4,-150.1764968193583,154.1295748330644,30.430607165242265
right_elbow,2,1,5,9,10,104,19,10,4,4,-166.18912303860262,133.25757805663366,29.944670109523628
left_hip,5,12,13,100,20,10,3,4,0,1,-81.80814697118763,135.89844579258937,21.7706592763777
right_hip,2,5,3,10,23,102,12,4,6,1,-116.96143046604573,113.52172086794712,23.048315133399285
left_knee,5,2,6,2,34,98,12,3,2,4,-174.09819191060834,173.22069617426575,34.73188880848741
right_knee,2,2,7,14,100,24,8,6,3,2,-157.8231263101259,167.471637461095,32.529476377122094
