Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,53,22,8,11,1,3,2,0,0,1,0.0,128.72289068448583,12.872289068448584
right_shoulder,57,20,7,4,3,4,2,0,3,1,0.0,171.61881280439044,17.161881280439044
left_elbow,8,6,7,2,4,5,8,7,32,22,1.3877996861100197,179.49793223610519,17.811013254999516
right_elbow,10,9,7,6,4,9,10,12,15,19,0.0,179.48213401895973,17.948213401895973
left_hip,1,2,5,2,23,40,20,4,2,2,0.0,176.6432573589473,17.664325735894728
right_hip,2,3,1,3,13,28,25,5,12,9,0.0,162.70005677959958,16.270005677959958
left_knee,14,4,4,7,4,9,1,7,6,45,0.0,179.32396332742698,17.932396332742698
right_knee,7,6,0,11,5,13,9,7,11,32,0.0,179.00292074831822,17.90029207483182
