Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,117,67,50,30,14,3,2,1,0,2,0.1006188452573251,166.1728790722739,16.60722602270166
right_shoulder,22,35,88,85,42,8,2,1,1,2,0.43638158463008175,164.09931084674326,16.36629292621132
left_elbow,18,14,21,44,62,52,39,18,5,13,0.3293634364626029,179.19860891876857,17.886924548230596
right_elbow,51,56,39,25,29,21,4,3,10,48,0.7863381506982664,178.50939289715419,17.77230547464559
left_hip,40,37,28,39,32,32,24,11,18,25,0.0,180.0,18.0
right_hip,16,8,14,10,22,51,30,40,40,55,0.0,180.0,18.0
left_knee,80,34,29,26,18,39,29,8,11,12,0.0,180.0,18.0
right_knee,69,34,29,32,38,19,19,23,11,12,0.0,180.0,18.0
