Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,80,32,2,6,0,0,0,4,0,5,0.0,161.71598303361588,16.171598303361588
right_shoulder,45,37,1,36,5,0,0,0,0,5,0.0,102.7632323999424,10.27632323999424
left_elbow,6,42,0,0,0,1,35,35,7,3,0.0,180.0,18.0
right_elbow,8,0,3,33,0,38,4,4,1,38,0.0,166.83900428281686,16.683900428281685
left_hip,5,4,1,2,8,1,30,7,63,8,0.0,166.57225730790933,16.657225730790934
right_hip,46,2,61,0,3,5,0,5,4,3,0.0,143.6138584394431,14.36138584394431
left_knee,12,36,2,3,1,30,1,3,33,8,0.0,157.96254742258034,15.796254742258034
right_knee,44,4,34,1,31,0,3,5,5,2,0.0,171.74449425730685,17.174449425730685
