Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,8,6,21,47,10,1,0,4,3,12,0.0,30.279184097135893,3.0279184097135894
right_shoulder,2,1,3,1,0,3,16,34,33,19,85.99012115945854,122.23173624623901,3.6241615086780428
left_elbow,51,54,2,0,0,0,0,0,1,4,39.948502087126606,64.18487450001795,2.4236372412891356
right_elbow,13,14,11,18,15,15,8,3,6,9,122.1958495227869,144.08915758127753,2.1893308058490675
left_hip,97,0,0,0,0,0,0,0,0,15,0.0,180.0,18.0
right_hip,86,0,0,0,0,0,0,0,0,26,0.0,180.0,18.0
left_knee,34,0,0,0,0,0,2,0,0,76,0.0,180.0,18.0
right_knee,86,0,0,0,0,0,0,0,0,26,28.420220765133735,128.36949830124442,9.994927753611066
