Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,30,39,22,7,4,3,3,0,1,2,0.0915604553145911,6.004035565697751,0.591247511038316
right_shoulder,27,49,17,7,3,4,3,0,0,1,0.05301557949583067,6.674059137933821,0.6621043558437991
left_elbow,29,30,13,10,4,6,2,2,8,7,0.0725103985954683,6.479568523828343,0.6407058125232875
right_elbow,17,45,20,9,6,8,1,1,1,3,0.08201173283367214,6.512385551779869,0.6430373818946197
left_hip,80,9,3,0,0,2,14,1,0,2,0.1461741390825781,69.72508298224543,6.957890884316285
right_hip,46,23,18,5,7,5,3,1,1,2,0.09363691269455568,10.906617426995735,1.0812980514301178
left_knee,110,0,0,0,0,0,0,0,0,1,0.12043087330333985,108.25681029394505,10.813637942064172
right_knee,83,0,0,0,0,22,4,0,0,2,0.11947730929961273,177.28537231663094,17.716589500733132
