frame_id,p0_nose,p0_left_eye,p0_right_eye,p0_left_ear,p0_right_ear,p0_left_shoulder,p0_right_shoulder,p0_left_elbow,p0_right_elbow,p0_left_wrist,p0_right_wrist,p0_left_hip,p0_right_hip,p0_left_knee,p0_right_knee,p0_left_ankle,p0_right_ankle,p1_nose,p1_left_eye,p1_right_eye,p1_left_ear,p1_right_ear,p1_left_shoulder,p1_right_shoulder,p1_left_elbow,p1_right_elbow,p1_left_wrist,p1_right_wrist,p1_left_hip,p1_right_hip,p1_left_knee,p1_right_knee,p1_left_ankle,p1_right_ankle,p0_average,p1_average
1,1.6220037847187727,0.7485220570426677,1.6302872713808705,0.7835037915331902,0.7601142400445093,0.8067834061951786,0.609364111655283,0.5728974251076822,1.5208322991784675,4.377790440671761,0.7775973878700436,0.9239115780980146,1.7807179932827606,0.9092951286700071,0.8954361941029586,1.739471890122817,4.588976902293511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4733827001157938,0.0
2,1.6622171999864819,1.6631703129267745,1.684734049248954,1.6468547328632543,0.7940675889776551,0.819246728324984,3.520401238253228,2.5936517282370946,5.70520091306782,0.7747937478203591,1.6201637183528323,3.5908846456223933,3.5534526394536967,2.599247425921273,2.5896285105714747,5.675202873857901,4.7814414305577895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.663197616708469,0.0
3,3.434966374993216,1.2369027186013175,1.3351450566097227,1.2894653063271029,1.2679112199646223,1.177694037390987,0.39339658067344774,0.2868193206415397,1.1793536693271038,0.8044782613703026,0.8005438470255171,0.2279701411322138,2.0785961148173944,1.5315332808313122,5.093599811684739,3.9272408856508316,0.10359495762262097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.539365387333176,0.0
4,0.6985263815062313,2.3046073611096967,0.6837403456595188,1.3335938308526005,0.47770608832286077,0.6883474073372682,0.7124990867645133,1.1168791571389347,1.920003285942465,2.810055467650355,1.9743545119110404,0.993491411540243,0.8080911939867773,0.9432100218268987,4.287115516018705,0.06369175746789303,1.0342014749913762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3441243705898458,0.0
5,1.368753097016639,1.1024611246660871,1.4669083405776646,2.010529095089193,1.4588141584930734,1.2106624042042577,1.2128853006906406,3.3547050525857856,1.2243352259983327,2.4453600339565615,1.5688402317346644,2.23878936909588,1.2368348441611434,1.6744175149242817,1.2584402804898136,1.283874072126273,2.433412841660112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6794131169100237,0.0
6,100.57062358331886,112.33518141836917,100.4731333397971,117.07667937921377,103.8126668353014,87.81066905546415,117.78663452332465,76.13225754640345,94.75899715192885,104.26916320671872,116.39630134023612,88.1539396445972,122.35362293667949,128.30539720513988,119.93180865812079,76.24321648714061,121.72728990383793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.18456365974072,0.0
7,101.34801714286671,112.97990502228672,101.97981308340813,117.09157631357468,104.45047400127086,87.54965641466407,117.79492011792927,74.81822877392781,94.4784478608574,104.24476622055239,115.35951705199655,88.08038423474481,119.25504312165694,124.0032260066208,120.67300723598143,74.2102507317051,121.45567534034902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.69252403967015,0.0
8,1.5241439414384554,1.5041859068005128,2.4808609776148227,2.532387104746229,1.5162012227817496,1.5821151729535379,0.6718522272176922,1.4682395289296846,0.8784083919641887,1.3138231708448644,3.6149773562064054,1.8027049982756653,2.20142712432423,6.108282634349615,2.7435831103578243,3.3482042122482505,3.0864695133046403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257521564374022,0.0
9,1.652550887323207,1.6524514508325339,1.2696395842701578,1.0917249337954298,2.266000898291487,1.2669933283252206,1.2668715579351622,2.260245083357926,2.4950338333044453,3.4211106519026773,1.2604852303912328,3.420004632477915,3.0515705181250024,1.569479199923084,1.5681429158714328,2.9683202327854596,1.633592003218106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0067186436547337,0.0
10,2.265596074670374,3.2518548873565027,2.267389944814771,3.2739703064880556,1.3013836795382203,3.266257048198189,2.258277340548235,2.246581736348843,1.868614655728404,1.8604837465759103,2.703487218362622,1.4310679294716535,4.934083918047794,3.546199327571234,2.602815895505456,2.2349815656274785,3.210719199522964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6190449690809827,0.0
