Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,102,2,0,1,0,0,0,0,0,2,0.0269222134526947,239.3389948681261,23.93120726546734
right_shoulder,101,3,0,1,0,0,0,0,0,2,0.034053488621291386,225.14795918059255,22.511390569197125
left_elbow,98,3,4,0,0,0,0,0,0,2,0.05324427358146773,227.32441909366096,22.727117482007948
right_elbow,96,5,3,1,0,0,0,0,0,2,0.05439533159430805,229.96029592943114,22.99059005978368
left_hip,101,3,1,0,0,0,0,0,0,2,0.04410674062642899,231.20323712931219,23.115913038868577
right_hip,102,2,0,1,0,0,0,0,0,2,0.06889569520667316,226.02625201337793,22.595735631817128
left_knee,98,6,1,0,0,0,0,0,0,2,0.02271412084844489,223.0165798708849,22.299386575003645
right_knee,102,1,2,0,0,0,0,0,0,2,0.03934976628736559,215.30017734187285,21.526082757558548
