Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,267,0,0,0,0,0,0,9,14,9,0.001985417085833837,268.5043365824996,26.850235116541377
right_shoulder,267,0,0,0,0,0,2,12,15,3,0.000152587890625,263.9182003060339,26.39180477181433
left_elbow,267,0,0,0,0,0,0,7,17,8,0.003384700723896428,266.69531695259764,26.669193225187378
right_elbow,267,0,0,0,0,0,10,9,11,2,0.0013675995614475516,267.85060888649423,26.78492412869328
left_hip,267,0,0,0,0,0,0,9,10,13,0.004072038795136612,263.385672281035,26.33816002422399
right_hip,267,0,0,0,0,0,4,13,12,3,0.0037080113268020045,265.1080210321049,26.51043130207781
left_knee,267,0,0,0,0,0,2,10,12,8,0.0051842620033656465,267.6357971400598,26.763061287805648
right_knee,267,0,0,0,0,0,11,8,10,3,0.004665198521626826,267.34777289580535,26.73431076972837
