Joints,0,1,2,3,4,5,6,7,8,9,Min,Max,Step
left_shoulder,3,4,3,5,50,24,5,1,2,3,-150.04835543660596,158.30098660124838,30.834934203785437
right_shoulder,4,1,3,6,27,45,7,1,2,4,-171.81008065383634,168.3372703709861,34.014735102482234
left_elbow,4,6,8,8,40,16,7,5,3,3,-147.06303828034518,167.64939710903502,31.471243538938012
right_elbow,6,4,4,14,33,26,3,2,5,3,-150.79954807546264,163.56465520453912,31.43642032800018
left_hip,5,1,6,9,16,38,10,7,5,3,-160.8738873976539,151.75581142979487,31.26296988274487
right_hip,3,4,10,17,40,8,6,4,4,4,-115.50073269137305,137.91278346784262,25.341351615921567
left_knee,5,6,5,6,18,36,8,5,6,5,-165.9388659204241,161.28607099538618,32.722493691581036
right_knee,5,7,14,3,28,13,9,8,7,6,-166.65107082154273,170.62639133418327,33.72774621557258
